Date,Close
2019-10-25,10.0
2019-10-28,10.010000228881836
2019-10-29,10.510000228881836
2019-10-30,10.649999618530273
2019-10-31,10.5
2019-11-01,10.75
2019-11-04,11.0
2019-11-05,11.0
2019-11-06,11.0
2019-11-07,11.0
2019-11-08,11.119999885559082
2019-11-11,13.920000076293945
2019-11-12,11.770000457763672
2019-11-13,12.699999809265137
2019-11-14,13.15999984741211
2019-11-15,14.0
2019-11-18,13.789999961853027
2019-11-19,17.709999084472656
2019-11-20,16.469999313354492
2019-11-21,14.569999694824219
2019-11-22,13.25
2019-11-25,13.199999809265137
2019-11-26,12.600000381469727
2019-11-27,12.869999885559082
2019-11-29,13.699999809265137
2019-12-02,14.710000038146973
2019-12-03,13.720000267028809
2019-12-04,13.390000343322754
2019-12-05,12.15999984741211
2019-12-06,10.210000038146973
2019-12-09,9.109999656677246
2019-12-10,8.210000038146973
2019-12-11,8.180000305175781
2019-12-12,7.880000114440918
2019-12-13,7.989999771118164
2019-12-16,8.470000267028809
2019-12-17,9.569999694824219
2019-12-18,9.15999984741211
2019-12-19,8.579999923706055
2019-12-20,10.130000114440918
2019-12-23,13.5600004196167
2019-12-24,13.25
2019-12-26,13.789999961853027
2019-12-27,13.819999694824219
2019-12-30,13.989999771118164
2019-12-31,13.970000267028809
2020-01-02,13.899999618530273
2020-01-03,13.880000114440918
2020-01-06,16.059999465942383
2020-01-07,15.529999732971191
2020-01-08,15.399999618530273
2020-01-09,14.539999961853027
2020-01-10,13.890000343322754
2020-01-13,14.350000381469727
2020-01-14,15.319999694824219
2020-01-15,16.0
2020-01-16,16.270000457763672
2020-01-17,16.3700008392334
2020-01-21,16.170000076293945
2020-01-22,16.3700008392334
2020-01-23,17.149999618530273
2020-01-24,17.469999313354492
2020-01-27,17.6299991607666
2020-01-28,16.459999084472656
2020-01-29,18.670000076293945
2020-01-30,17.1200008392334
2020-01-31,16.43000030517578
2020-02-03,15.59000015258789
2020-02-04,15.279999732971191
2020-02-05,15.9399995803833
2020-02-06,16.450000762939453
2020-02-07,15.460000038146973
2020-02-10,15.050000190734863
2020-02-11,15.420000076293945
2020-02-12,15.260000228881836
2020-02-13,15.739999771118164
2020-02-14,15.859999656677246
2020-02-18,18.549999237060547
2020-02-19,16.829999923706055
2020-02-20,16.489999771118164
2020-02-21,15.970000267028809
2020-02-24,14.329999923706055
2020-02-25,14.600000381469727
2020-02-26,16.440000534057617
2020-02-27,15.399999618530273
2020-02-28,14.9399995803833
2020-03-02,14.989999771118164
2020-03-03,15.489999771118164
2020-03-04,16.40999984741211
2020-03-05,15.220000267028809
2020-03-06,14.350000381469727
2020-03-09,12.729999542236328
2020-03-10,12.65999984741211
2020-03-11,11.229999542236328
2020-03-12,8.90999984741211
2020-03-13,8.0
2020-03-16,7.010000228881836
2020-03-17,7.309999942779541
2020-03-18,6.0
2020-03-19,6.239999771118164
2020-03-20,7.329999923706055
2020-03-23,7.119999885559082
2020-03-24,7.059999942779541
2020-03-25,7.449999809265137
2020-03-26,7.980000019073486
2020-03-27,7.28000020980835
2020-03-30,7.25
2020-03-31,7.300000190734863
2020-04-01,6.760000228881836
