Date,Close
2020-12-11,58.900001525878906
2020-12-14,50.0099983215332
2020-12-15,46.9900016784668
2020-12-16,47.529998779296875
2020-12-17,48.599998474121094
2020-12-18,49.220001220703125
2020-12-21,45.29999923706055
2020-12-22,47.119998931884766
2020-12-23,43.2599983215332
2020-12-24,42.41999816894531
2020-12-28,40.54999923706055
2020-12-29,39.0
2020-12-30,41.099998474121094
2020-12-31,40.2400016784668
2021-01-04,39.099998474121094
2021-01-05,38.5099983215332
2021-01-06,39.61000061035156
2021-01-07,39.31999969482422
2021-01-08,39.720001220703125
2021-01-11,36.59000015258789
2021-01-12,39.95000076293945
2021-01-13,43.880001068115234
2021-01-14,46.63999938964844
2021-01-15,44.40999984741211
2021-01-19,49.08000183105469
2021-01-20,48.20000076293945
2021-01-21,50.900001525878906
2021-01-22,50.5
2021-01-25,48.790000915527344
2021-01-26,47.77000045776367
2021-01-27,46.849998474121094
2021-01-28,51.5
2021-01-29,52.83000183105469
2021-02-01,53.20000076293945
2021-02-02,47.95000076293945
2021-02-03,48.54999923706055
2021-02-04,46.58000183105469
2021-02-05,46.54999923706055
2021-02-08,45.029998779296875
2021-02-09,47.0
2021-02-10,46.9900016784668
2021-02-11,46.0
2021-02-12,42.970001220703125
2021-02-16,44.040000915527344
2021-02-17,45.63999938964844
2021-02-18,43.79999923706055
2021-02-19,44.06999969482422
2021-02-22,40.369998931884766
2021-02-23,38.83000183105469
2021-02-24,40.099998474121094
2021-02-25,39.060001373291016
2021-02-26,37.709999084472656
2021-03-01,39.689998626708984
2021-03-02,38.0
2021-03-03,35.66999816894531
2021-03-04,30.049999237060547
2021-03-05,28.610000610351562
2021-03-08,26.760000228881836
2021-03-09,30.639999389648438
2021-03-10,32.220001220703125
2021-03-11,36.0
2021-03-12,36.540000915527344
2021-03-15,37.54999923706055
2021-03-16,37.880001068115234
2021-03-17,36.290000915527344
2021-03-18,31.3700008392334
2021-03-19,31.200000762939453
2021-03-22,30.579999923706055
2021-03-23,29.229999542236328
2021-03-24,27.790000915527344
2021-03-25,26.579999923706055
2021-03-26,24.75
2021-03-29,23.290000915527344
2021-03-30,26.68000030517578
2021-03-31,33.959999084472656
2021-04-01,30.709999084472656
2021-04-05,28.09000015258789
2021-04-06,29.0
2021-04-07,31.290000915527344
2021-04-08,30.59000015258789
2021-04-09,28.350000381469727
