Date,Close
2020-01-31,37.5
2020-02-03,38.0
2020-02-04,39.29999923706055
2020-02-05,37.880001068115234
2020-02-06,38.7400016784668
2020-02-07,39.119998931884766
2020-02-10,37.529998779296875
2020-02-11,38.900001525878906
2020-02-12,38.029998779296875
2020-02-13,36.86000061035156
2020-02-14,36.13999938964844
2020-02-18,35.2599983215332
2020-02-19,37.2599983215332
2020-02-20,37.029998779296875
2020-02-21,37.91999816894531
2020-02-24,33.27000045776367
2020-02-25,32.720001220703125
2020-02-26,32.0
2020-02-27,28.899999618530273
2020-02-28,26.989999771118164
2020-03-02,30.190000534057617
2020-03-03,30.0
2020-03-04,30.290000915527344
2020-03-05,32.16999816894531
2020-03-06,29.0
2020-03-09,24.770000457763672
2020-03-10,23.6299991607666
2020-03-11,22.649999618530273
2020-03-12,20.540000915527344
2020-03-13,23.950000762939453
2020-03-16,19.809999465942383
2020-03-17,19.360000610351562
2020-03-18,18.18000030517578
2020-03-19,19.700000762939453
2020-03-20,22.18000030517578
2020-03-23,24.010000228881836
2020-03-24,26.31999969482422
2020-03-25,27.75
2020-03-26,30.84000015258789
2020-03-27,24.110000610351562
2020-03-30,25.399999618530273
2020-03-31,24.950000762939453
2020-04-01,22.299999237060547
2020-04-02,23.59000015258789
2020-04-03,23.799999237060547
2020-04-06,24.100000381469727
2020-04-07,25.18000030517578
2020-04-08,25.110000610351562
2020-04-09,25.959999084472656
2020-04-13,24.700000762939453
2020-04-14,24.420000076293945
2020-04-15,27.729999542236328
2020-04-16,27.770000457763672
2020-04-17,29.850000381469727
2020-04-20,32.2599983215332
2020-04-21,35.02000045776367
2020-04-22,35.45000076293945
2020-04-23,36.43000030517578
2020-04-24,41.22999954223633
2020-04-27,41.959999084472656
2020-04-28,41.93000030517578
2020-04-29,41.040000915527344
2020-04-30,37.040000915527344
2020-05-01,34.4900016784668
2020-05-04,37.22999954223633
2020-05-05,37.90999984741211
2020-05-06,38.4900016784668
2020-05-07,40.2400016784668
2020-05-08,42.27000045776367
2020-05-11,43.04999923706055
2020-05-12,43.13999938964844
2020-05-13,42.59000015258789
2020-05-14,41.38999938964844
2020-05-15,40.720001220703125
2020-05-18,40.869998931884766
2020-05-19,36.709999084472656
2020-05-20,40.38999938964844
2020-05-21,39.939998626708984
2020-05-22,40.959999084472656
2020-05-26,39.560001373291016
2020-05-27,39.54999923706055
2020-05-28,41.0
2020-05-29,39.04999923706055
2020-06-01,39.75
2020-06-02,40.869998931884766
2020-06-03,40.09000015258789
2020-06-04,38.66999816894531
2020-06-05,35.529998779296875
2020-06-08,37.900001525878906
2020-06-09,38.2400016784668
2020-06-10,37.90999984741211
2020-06-11,34.65999984741211
2020-06-12,34.58000183105469
2020-06-15,38.02000045776367
2020-06-16,37.5099983215332
2020-06-17,38.38999938964844
2020-06-18,41.70000076293945
2020-06-19,41.369998931884766
2020-06-22,44.79999923706055
2020-06-23,42.75
2020-06-24,41.45000076293945
2020-06-25,44.130001068115234
2020-06-26,41.970001220703125
2020-06-29,39.790000915527344
2020-06-30,42.15999984741211
2020-07-01,43.06999969482422
2020-07-02,41.02000045776367
2020-07-06,41.0
2020-07-07,37.029998779296875
2020-07-08,38.029998779296875
2020-07-09,36.06999969482422
2020-07-10,33.72999954223633
2020-07-13,30.719999313354492
2020-07-14,30.440000534057617
2020-07-15,30.110000610351562
2020-07-16,29.700000762939453
2020-07-17,29.350000381469727
2020-07-20,31.56999969482422
2020-07-21,29.059999465942383
2020-07-22,28.399999618530273
2020-07-23,26.989999771118164
2020-07-24,27.280000686645508
2020-07-27,29.709999084472656
2020-07-28,28.790000915527344
2020-07-29,28.440000534057617
2020-07-30,28.850000381469727
2020-07-31,27.81999969482422
2020-08-03,29.079999923706055
2020-08-04,29.1200008392334
2020-08-05,29.25
2020-08-06,30.100000381469727
2020-08-07,30.25
2020-08-10,32.900001525878906
2020-08-11,32.560001373291016
2020-08-12,29.8700008392334
2020-08-13,28.989999771118164
2020-08-14,29.149999618530273
2020-08-17,29.920000076293945
2020-08-18,30.579999923706055
2020-08-19,30.209999084472656
2020-08-20,29.5
2020-08-21,30.06999969482422
2020-08-24,30.0
2020-08-25,30.34000015258789
2020-08-26,28.899999618530273
2020-08-27,28.280000686645508
2020-08-28,29.110000610351562
2020-08-31,28.770000457763672
2020-09-01,29.860000610351562
2020-09-02,30.020000457763672
2020-09-03,29.649999618530273
2020-09-04,28.31999969482422
2020-09-08,28.139999389648438
2020-09-09,29.8700008392334
2020-09-10,29.06999969482422
2020-09-11,29.5
2020-09-14,30.520000457763672
2020-09-15,29.139999389648438
2020-09-16,29.93000030517578
2020-09-17,31.329999923706055
