Date,Close
1981-02-11,0.09506808966398239
1981-02-12,0.09506808966398239
1981-02-13,0.09506808966398239
1981-02-17,0.09506808966398239
1981-02-18,0.09506808966398239
1981-02-19,0.09506808966398239
1981-02-20,0.09506808966398239
1981-02-23,0.09506808966398239
1981-02-24,0.09506808966398239
1981-02-25,0.09506808966398239
1981-02-26,0.09506808966398239
1981-02-27,0.09506808966398239
1981-03-02,0.09110663086175919
1981-03-03,0.09110663086175919
1981-03-04,0.09110663086175919
1981-03-05,0.09110663086175919
1981-03-06,0.09110663086175919
1981-03-09,0.09110663086175919
1981-03-10,0.09110663086175919
1981-03-11,0.09110663086175919
1981-03-12,0.09110663086175919
1981-03-13,0.09110663086175919
1981-03-16,0.09110663086175919
1981-03-17,0.09110663086175919
1981-03-18,0.09110663086175919
1981-03-19,0.09110663086175919
1981-03-20,0.09110663086175919
1981-03-23,0.09110663086175919
1981-03-24,0.09110663086175919
1981-03-25,0.09110663086175919
1981-03-26,0.09110663086175919
1981-03-27,0.09110663086175919
1981-03-30,0.09110663086175919
1981-03-31,0.09110663086175919
1981-04-01,0.09110663086175919
1981-04-02,0.09110663086175919
1981-04-03,0.09110663086175919
1981-04-06,0.09110663086175919
1981-04-07,0.09110663086175919
1981-04-08,0.09110663086175919
1981-04-09,0.09110663086175919
1981-04-10,0.09110663086175919
1981-04-13,0.09110663086175919
1981-04-14,0.09110663086175919
1981-04-15,0.09110663086175919
1981-04-16,0.09110663086175919
1981-04-20,0.09110663086175919
1981-04-21,0.09110663086175919
1981-04-22,0.09110663086175919
1981-04-23,0.09110663086175919
1981-04-24,0.09110663086175919
1981-04-27,0.09110663086175919
1981-04-28,0.09110663086175919
1981-04-29,0.09110663086175919
1981-04-30,0.09110663086175919
1981-05-01,0.09110663086175919
1981-05-04,0.09110663086175919
1981-05-05,0.09110663086175919
1981-05-06,0.08714569360017776
1981-05-07,0.08714569360017776
1981-05-08,0.08714569360017776
1981-05-11,0.08714569360017776
1981-05-12,0.08714569360017776
1981-05-13,0.08714569360017776
1981-05-14,0.08714569360017776
1981-05-15,0.08714569360017776
1981-05-18,0.08714569360017776
1981-05-19,0.08714569360017776
1981-05-20,0.08714569360017776
1981-05-21,0.08714569360017776
1981-05-22,0.08516494184732437
1981-05-26,0.08516494184732437
1981-05-27,0.08516494184732437
1981-05-28,0.08516494184732437
1981-05-29,0.08516494184732437
1981-06-01,0.08318470418453217
1981-06-02,0.08318470418453217
1981-06-03,0.08318470418453217
1981-06-04,0.08318470418453217
1981-06-05,0.08714569360017776
1981-06-08,0.08714569360017776
1981-06-09,0.08714569360017776
1981-06-10,0.08714569360017776
1981-06-11,0.08714569360017776
1981-06-12,0.08714569360017776
1981-06-15,0.08714569360017776
1981-06-16,0.08714569360017776
1981-06-17,0.08714569360017776
1981-06-18,0.08714569360017776
1981-06-19,0.08714569360017776
1981-06-22,0.08714569360017776
1981-06-23,0.08714569360017776
1981-06-24,0.08714569360017776
1981-06-25,0.08714569360017776
1981-06-26,0.08714569360017776
1981-06-29,0.08714569360017776
1981-06-30,0.08714569360017776
1981-07-01,0.08714569360017776
1981-07-02,0.08714569360017776
1981-07-06,0.08714569360017776
1981-07-07,0.08714569360017776
1981-07-08,0.08714569360017776
1981-07-09,0.08714569360017776
1981-07-10,0.08714569360017776
1981-07-13,0.08714569360017776
1981-07-14,0.08714569360017776
1981-07-15,0.08714569360017776
1981-07-16,0.08714569360017776
1981-07-17,0.08714569360017776
1981-07-20,0.08318470418453217
1981-07-21,0.08318470418453217
1981-07-22,0.08318470418453217
1981-07-23,0.08318470418453217
1981-07-24,0.07922323048114777
1981-07-27,0.08714569360017776
1981-07-28,0.08714569360017776
1981-07-29,0.08714569360017776
1981-07-30,0.08714569360017776
1981-07-31,0.08714569360017776
1981-08-03,0.08714569360017776
1981-08-04,0.08714569360017776
1981-08-05,0.08714569360017776
1981-08-06,0.08714569360017776
1981-08-07,0.08714569360017776
1981-08-10,0.08714569360017776
1981-08-11,0.08714569360017776
1981-08-12,0.08714569360017776
1981-08-13,0.08714569360017776
1981-08-14,0.08714569360017776
1981-08-17,0.08714569360017776
1981-08-18,0.08714569360017776
1981-08-19,0.08714569360017776
1981-08-20,0.09110663086175919
1981-08-21,0.09110663086175919
1981-08-24,0.09110663086175919
1981-08-25,0.09110663086175919
1981-08-26,0.09110663086175919
1981-08-27,0.09110663086175919
1981-08-28,0.09110663086175919
1981-08-31,0.09110663086175919
1981-09-01,0.09110663086175919
1981-09-02,0.09110663086175919
1981-09-03,0.09110663086175919
1981-09-04,0.09110663086175919
1981-09-08,0.09110663086175919
1981-09-09,0.09110663086175919
1981-09-10,0.09110663086175919
1981-09-11,0.09110663086175919
1981-09-14,0.09110663086175919
1981-09-15,0.09110663086175919
1981-09-16,0.08714569360017776
1981-09-17,0.08714569360017776
1981-09-18,0.08714569360017776
1981-09-21,0.08714569360017776
1981-09-22,0.08714569360017776
1981-09-23,0.08714569360017776
1981-09-24,0.08912642300128937
1981-09-25,0.08912642300128937
1981-09-28,0.08912642300128937
1981-09-29,0.08912642300128937
1981-09-30,0.08714569360017776
1981-10-01,0.08714569360017776
1981-10-02,0.08714569360017776
1981-10-05,0.08912642300128937
1981-10-06,0.08912642300128937
1981-10-07,0.08912642300128937
1981-10-08,0.08912642300128937
1981-10-09,0.08912642300128937
1981-10-12,0.08912642300128937
1981-10-13,0.08516494184732437
1981-10-14,0.08516494184732437
1981-10-15,0.08516494184732437
1981-10-16,0.08516494184732437
1981-10-19,0.08516494184732437
1981-10-20,0.08516494184732437
1981-10-21,0.08516494184732437
1981-10-22,0.08516494184732437
1981-10-23,0.08516494184732437
1981-10-26,0.08516494184732437
1981-10-27,0.08516494184732437
1981-10-28,0.08516494184732437
1981-10-29,0.08516494184732437
1981-10-30,0.08516494184732437
1981-11-02,0.08516494184732437
1981-11-03,0.08516494184732437
1981-11-04,0.08516494184732437
1981-11-05,0.08516494184732437
1981-11-06,0.07922323048114777
1981-11-09,0.07922323048114777
1981-11-10,0.07922323048114777
1981-11-11,0.07922323048114777
1981-11-12,0.07922323048114777
1981-11-13,0.07922323048114777
1981-11-16,0.07922323048114777
1981-11-17,0.07922323048114777
1981-11-18,0.07922323048114777
1981-11-19,0.07922323048114777
1981-11-20,0.07922323048114777
1981-11-23,0.07922323048114777
1981-11-24,0.07922323048114777
1981-11-25,0.07922323048114777
1981-11-27,0.07922323048114777
1981-11-30,0.07922323048114777
1981-12-01,0.07922323048114777
1981-12-02,0.07922323048114777
1981-12-03,0.07922323048114777
1981-12-04,0.07922323048114777
1981-12-07,0.07922323048114777
1981-12-08,0.07922323048114777
1981-12-09,0.07922323048114777
1981-12-10,0.07922323048114777
1981-12-11,0.07922323048114777
1981-12-14,0.07724249362945557
1981-12-15,0.07724249362945557
